wzrost wyskok szybkosc wiek skok_w_dal skok_wzwyz
170.44 38.85 11.05 12 0.69 1.93
194.21 43.08 20.70 23 1.36 1.63
157.77 57.38 32.01 26 0.62 1.12
187.73 31.69 26.00 27 0.71 1.62
204.31 32.04 25.91 31 1.55 0.89
161.21 49.74 18.20 21 0.95 2.43
180.33 52.77 16.65 17 0.86 0.99
182.62 35.36 19.60 19 1.35 1.81
158.82 30.75 23.77 21 0.79 1.38
174.45 31.53 19.44 33 2.41 0.71
176.74 36.85 11.28 11 1.55 1.67
189.26 40.89 30.81 34 0.51 2.02
154.54 38.09 20.30 21 0.89 1.82
180.77 32.62 33.16 12 2.14 1.67
172.67 53.05 12.62 17 0.78 1.48
202.04 29.17 31.29 26 0.69 1.94
182.19 55.64 14.68 22 2.01 2.14
174.30 33.93 20.81 28 2.10 2.43
174.86 41.67 20.56 15 1.56 1.26
171.63 58.34 18.49 34 1.28 1.36
192.02 46.32 25.77 12 1.51 0.57
186.34 52.46 11.53 10 1.29 1.21
153.16 31.88 24.13 32 0.60 1.86
175.45 49.06 32.44 18 0.50 1.03
198.06 50.30 26.15 22 1.13 1.02
194.89 42.18 14.70 21 1.46 0.69
155.05 30.36 19.67 12 2.18 1.97
152.57 25.82 22.92 13 1.19 0.88
180.07 50.59 32.46 10 1.98 1.61
169.78 41.37 26.92 33 0.69 1.71
161.78 25.30 10.88 14 2.18 0.91
204.69 54.34 23.16 26 2.05 1.30
177.63 49.50 32.90 12 1.06 2.21
186.31 53.98 33.56 14 0.86 1.20
174.72 33.24 32.95 28 1.66 1.66
205.10 42.90 20.34 29 0.82 1.49
174.16 32.43 14.10 32 0.51 1.47
205.53 35.78 32.67 16 1.61 0.76
153.02 39.49 18.10 13 0.97 1.80
193.05 32.74 21.97 27 2.20 0.50
189.16 26.11 22.40 14 1.40 1.38
206.86 40.06 27.33 23 1.91 0.61
160.06 58.52 30.94 21 1.94 0.65
150.65 34.30 15.68 24 0.90 1.14
189.68 54.97 29.72 10 2.07 1.77
155.38 31.62 34.38 14 0.88 2.33
181.99 40.17 14.01 17 0.99 2.28
177.51 49.42 15.18 23 1.52 2.16
205.09 57.68 20.90 15 1.10 0.75
200.38 55.54 24.49 21 1.80 2.27
171.80 57.00 30.68 14 1.74 0.55
189.39 35.40 15.08 14 0.84 1.95
159.33 33.37 30.97 33 0.64 2.49
182.44 26.83 24.53 13 1.12 1.83
197.03 37.60 31.98 19 2.03 1.09
199.07 30.96 15.43 15 2.09 2.41
182.70 32.80 30.01 15 2.33 2.43
207.80 26.33 28.26 34 1.36 1.64
193.78 39.35 19.57 26 0.79 1.16
193.59 54.88 16.43 23 1.79 1.79
171.16 56.93 15.08 16 1.58 1.27
152.16 36.81 21.22 28 0.63 0.81
181.04 35.21 11.20 20 1.88 2.42
180.22 52.60 14.35 31 1.84 0.50
163.49 45.00 15.02 29 1.34 0.80
200.72 36.79 32.89 27 0.76 1.26
205.00 35.14 17.00 16 2.14 0.55
181.17 50.42 12.09 19 1.29 0.62
200.14 36.83 22.43 26 2.13 0.93
167.55 32.09 12.02 11 0.81 2.29
164.38 47.87 19.07 22 0.79 1.59
189.52 36.53 17.32 29 1.58 1.90
207.07 57.26 14.76 20 0.57 1.03
160.18 36.41 31.11 10 1.77 2.42
183.38 26.34 15.46 15 1.64 2.24
203.32 33.62 16.75 21 0.65 2.38
197.48 48.48 22.75 20 1.03 1.98
198.46 45.14 15.01 13 1.34 0.70
150.42 39.77 23.17 26 0.94 1.72
171.33 40.29 16.39 12 0.68 1.00
197.76 58.23 21.13 27 0.80 1.76
153.52 54.66 25.68 31 0.68 2.41
178.10 40.55 29.32 13 1.53 0.51
190.35 28.94 33.38 30 0.89 0.58
205.49 25.52 16.93 33 2.26 2.40
200.02 52.23 20.87 16 0.84 1.48
207.70 43.95 13.88 11 1.12 0.65
197.65 26.39 15.28 10 2.24 1.50
156.81 36.99 26.20 22 1.49 0.83
202.38 43.93 21.06 14 1.86 2.42
200.58 26.85 16.32 22 1.17 1.82
153.48 51.90 32.32 11 2.28 2.42
203.11 46.40 18.50 20 0.91 2.46
174.23 39.48 17.14 13 1.27 2.25
203.75 44.43 18.58 28 1.50 0.93
187.05 57.93 30.57 13 1.08 2.37
191.20 51.47 25.01 20 2.19 1.23
158.82 28.65 12.26 14 0.92 2.03
158.10 53.18 14.53 29 1.85 2.41
151.99 52.23 16.52 16 0.58 1.59
209.02 26.60 26.65 16 1.20 0.69
159.59 34.00 27.55 29 1.90 1.64
171.47 58.94 11.53 24 0.56 1.95
159.82 34.48 28.96 20 1.16 2.46
159.07 42.51 20.94 18 1.11 1.10
198.57 33.52 10.74 22 1.50 2.34
182.02 44.49 25.08 19 1.77 1.92
157.28 51.33 30.83 23 0.83 0.73
187.43 26.53 11.01 12 1.55 1.94
173.95 54.19 25.61 20 0.91 0.75
169.18 39.36 23.35 25 1.06 1.14
189.12 35.93 29.66 34 0.78 0.72
150.83 51.50 18.70 34 1.80 1.88
197.39 48.80 32.45 13 0.69 0.78
187.61 35.39 25.42 24 1.12 1.25
180.19 54.71 13.51 25 1.82 1.41
203.45 57.98 16.89 18 0.90 0.62
187.42 56.11 29.12 15 0.62 1.22
202.32 43.69 14.11 19 1.25 2.39
192.38 40.62 23.93 20 2.32 1.10
176.87 51.72 10.04 31 0.94 0.62
206.57 27.79 11.07 17 2.06 1.45
190.60 37.49 34.25 21 2.33 2.46
150.39 53.62 16.80 20 2.19 1.84
153.10 48.22 11.29 20 2.01 1.07
187.45 41.04 22.99 32 1.34 1.94
197.72 33.69 26.09 24 2.11 1.55
209.72 26.49 25.73 22 1.62 0.98
183.84 49.19 29.91 26 2.33 2.33
166.56 50.46 31.28 31 1.36 1.14
177.20 43.36 26.04 10 1.36 0.88
172.91 32.83 17.64 24 1.04 2.16
206.97 28.75 18.44 33 2.00 0.96
176.99 30.10 21.10 26 0.89 1.33
179.50 46.18 18.09 22 1.78 0.99
157.54 29.38 28.50 11 1.00 1.27
202.60 56.29 20.42 27 1.87 1.58
205.73 36.11 17.19 24 1.78 0.99
202.91 57.08 27.25 13 2.21 1.22
163.81 59.45 27.52 16 2.38 2.35
179.43 30.66 29.01 19 1.94 1.92
200.83 38.06 32.25 12 0.63 1.35
195.65 37.89 19.45 34 2.06 1.42
182.30 45.51 28.05 17 1.89 1.21
195.85 46.85 25.34 20 1.81 2.06
188.18 55.25 25.93 11 1.90 1.71
178.82 25.45 23.07 23 2.46 1.94
197.90 36.96 19.40 20 1.96 0.76
177.59 41.57 32.95 30 1.63 2.25
172.99 55.21 28.36 26 1.28 2.04
194.18 48.96 24.63 25 1.07 1.71
153.25 32.97 16.63 27 1.10 0.64
207.28 43.01 33.21 24 2.03 2.44
186.81 43.54 15.29 28 1.20 1.53
201.59 50.84 34.85 19 1.04 0.64
175.73 54.33 19.86 25 1.92 2.29
152.75 54.28 11.92 10 1.46 1.76
169.31 47.41 15.63 19 1.20 1.71
190.90 40.13 26.48 26 1.06 0.91
166.51 52.45 25.00 34 0.71 2.04
187.40 39.60 10.12 12 1.47 1.22
190.40 25.89 30.57 12 1.24 1.64
154.12 53.59 29.19 10 1.03 0.65
175.54 56.25 13.29 22 1.96 1.22
183.56 34.97 30.35 30 2.37 0.73
195.13 27.25 26.00 17 2.42 0.80
209.86 58.45 31.03 17 1.25 1.37
197.06 32.06 18.80 21 0.57 1.11
175.01 37.20 25.12 17 1.69 0.79
208.87 46.68 25.49 24 2.45 2.37
185.68 35.11 10.53 28 0.64 0.72
154.45 35.51 28.21 32 1.18 1.55
200.78 30.09 27.17 26 1.03 1.99
170.11 58.30 33.55 17 1.21 2.29
209.38 36.68 33.04 10 0.93 1.98
178.04 30.23 16.89 25 2.44 1.00
209.25 35.79 23.16 25 0.59 1.56
206.63 27.09 19.26 20 0.59 1.94
160.87 58.61 19.49 29 2.30 1.77
161.73 51.50 13.76 13 1.51 1.10
190.69 49.81 27.14 12 1.05 2.17
156.11 47.52 27.21 14 1.33 0.80
195.73 32.34 17.04 20 0.53 1.52
150.02 55.76 10.89 18 1.75 1.19
197.32 27.05 23.82 27 2.13 1.24
199.10 28.56 19.75 14 0.71 0.87
195.02 55.35 24.80 12 0.87 0.91
205.21 55.82 11.29 25 1.79 1.17
201.04 57.12 32.76 23 2.35 0.99
202.33 34.81 27.44 21 0.89 1.30
150.41 50.29 21.14 21 1.98 1.21
159.50 31.05 12.86 12 1.00 0.93
192.79 36.30 24.50 23 2.39 2.27
200.34 33.41 10.80 20 0.89 1.95
198.33 58.67 14.80 27 1.99 1.43
197.77 54.05 10.05 17 1.49 1.82
207.77 37.59 11.86 10 0.68 0.76
188.42 51.62 32.15 24 0.82 2.37
151.07 45.00 29.29 10 2.05 2.28
187.52 26.37 13.04 34 0.75 1.38
179.55 58.01 34.34 17 1.49 2.30
197.75 49.51 13.69 16 0.50 1.89
185.60 50.51 15.65 12 1.52 0.99
176.06 44.59 20.06 30 1.00 0.79
198.19 41.70 16.83 21 1.20 1.98
204.82 46.78 10.65 33 0.98 1.25
181.06 28.50 16.33 30 1.93 0.75
185.32 27.32 24.77 23 2.29 1.32
155.40 46.98 19.71 16 0.91 0.89
202.99 36.16 17.63 32 2.14 1.62
195.59 44.62 32.09 22 1.17 0.98
206.22 31.66 30.07 26 0.61 2.07
151.92 54.85 11.39 10 2.28 1.02
177.22 41.36 26.82 14 0.89 1.32
165.58 26.81 31.60 32 1.83 1.27
177.22 33.36 24.52 24 1.85 1.51
173.22 38.16 17.39 22 1.67 2.25
189.95 47.03 30.51 13 2.14 1.10
202.97 39.40 34.89 22 2.17 1.91
151.80 41.45 14.62 19 1.05 2.00
203.40 59.94 12.10 10 1.33 1.97
188.07 28.72 28.32 33 1.07 1.34
181.52 45.11 14.11 34 0.77 2.14
183.57 57.52 11.05 24 1.55 1.70
154.82 41.02 25.27 20 1.88 2.16
181.89 34.26 17.67 21 1.79 1.93
199.97 53.34 22.85 13 1.16 1.95
172.78 26.35 29.30 26 1.72 1.17
154.99 56.58 34.37 15 0.81 0.61
159.28 42.64 22.96 25 1.06 1.31
207.82 26.53 19.44 19 1.54 2.42
185.85 31.19 14.65 17 1.84 2.17
186.38 57.61 15.79 15 2.20 2.00
166.65 41.67 20.85 33 2.07 1.40
152.58 25.09 27.51 10 2.09 0.68
203.76 25.29 10.03 29 0.53 0.71
171.77 36.01 22.21 14 2.35 1.52
163.05 31.63 17.23 10 0.97 0.83
153.53 49.49 25.22 24 0.63 1.20
204.89 48.05 21.59 34 0.71 1.02
162.54 39.27 18.93 12 1.59 1.89
182.06 28.11 10.24 21 2.12 2.29
164.42 35.16 17.43 22 1.37 1.83
174.18 41.31 10.61 27 2.28 2.45
203.89 33.52 11.54 19 0.99 2.25
175.77 30.30 11.89 13 1.77 1.27
192.50 26.73 13.23 24 2.47 1.93
158.17 53.18 27.61 31 1.41 2.01
156.06 42.84 10.83 24 2.09 1.97
188.42 59.91 19.66 31 1.24 1.25
192.20 54.25 13.09 11 2.07 2.26
193.77 55.08 19.22 26 0.81 0.51
163.64 55.59 11.13 14 1.56 1.71
201.11 44.91 28.71 24 1.10 1.40
199.67 43.97 26.11 32 0.65 0.94
155.34 30.15 11.60 21 0.82 1.02
176.18 52.67 33.09 25 0.77 1.84
208.12 57.47 22.90 31 1.59 0.84
154.84 35.21 17.46 10 1.22 0.99
154.04 51.76 18.19 29 0.64 1.63
165.02 46.60 30.16 28 1.20 0.60
192.19 38.02 18.39 13 1.76 1.75
171.95 26.12 21.74 21 2.34 1.05
209.77 55.42 22.37 34 0.52 2.19
187.56 30.10 13.61 14 0.77 1.01
156.39 40.01 26.09 33 1.47 1.11
156.22 52.57 28.15 11 1.35 2.42
203.96 36.76 27.84 30 2.35 2.08
180.03 29.19 32.47 22 0.90 1.99
192.88 50.25 20.50 14 0.84 0.53
163.80 52.21 15.23 14 0.86 2.35
154.29 32.72 18.52 21 1.37 0.61
197.85 30.62 13.16 19 1.47 0.62
192.17 53.35 20.33 22 1.24 0.91
192.49 25.80 33.20 14 0.99 0.59
164.72 45.83 34.41 30 2.47 1.19
191.59 48.27 33.33 26 1.36 2.08
168.24 53.19 26.61 14 2.43 2.27
176.40 45.91 24.49 25 1.23 1.02
191.99 27.63 27.52 15 0.80 1.72
177.88 39.74 14.47 14 0.87 2.20
175.09 54.92 23.34 25 1.87 1.75
167.11 32.09 26.53 34 2.46 1.63
180.67 44.12 26.18 10 1.11 1.54
177.98 46.58 29.93 14 1.75 2.02
177.08 39.44 20.59 22 0.96 1.91
188.42 48.61 30.49 13 1.06 2.38
161.25 25.25 15.83 29 1.69 2.25
158.51 28.33 21.99 15 0.93 0.54
191.63 31.85 31.24 24 1.08 2.33
160.38 46.82 22.93 18 0.67 1.36
171.27 33.44 34.67 27 1.13 0.73
188.05 28.94 34.42 14 1.79 0.84
207.65 42.76 32.91 25 1.21 1.74
193.45 33.24 15.09 34 2.39 1.94
155.77 28.03 27.19 33 0.89 1.84
150.06 56.67 21.32 19 1.19 1.77
183.32 26.14 13.55 24 1.16 0.66
200.74 52.60 22.77 29 1.11 1.92
186.32 57.66 34.00 23 0.94 1.83
176.92 54.10 23.64 19 1.84 0.58
